Model,Accuracy,Precision,Recall,F1
LogReg,0.89,0.8970692123851882,0.89,0.7224963715529752
SVM,0.9133333333333333,0.908703431372549,0.9133333333333333,0.7315701247629333
VADER,0.8016666666666666,0.8301167506911692,0.8016666666666666,0.5239282434404385
TextBlob,0.7883333333333333,0.8036860951277063,0.7883333333333333,0.5003750537943926
