Model,Accuracy,Precision_w,Recall_w,F1_w,F1_macro
LogReg (TF-IDF),0.9,0.903888888888889,0.9,0.8970794261626852,0.7126280012930529
LinearSVM (TF-IDF),0.9083333333333333,0.9023237649297028,0.9083333333333333,0.8998040715106583,0.7272900087271346
VADER (Lexicon),0.78,0.8164950232925303,0.78,0.7971118231498566,0.5257248796919054
TextBlob (Lexicon),0.76,0.7834154135338345,0.76,0.7702875344352617,0.46376645240281605
